iter	Passed	Remaining
0	1	174
1	3	157
2	4	146
3	6	149
4	7	143
5	9	145
6	10	141
7	11	136
8	13	133
9	14	130
10	16	129
11	17	127
12	18	124
13	20	122
14	21	122
15	23	121
16	24	119
17	25	116
18	26	114
19	27	111
20	29	109
21	30	108
22	31	106
23	32	104
24	33	101
25	35	101
26	36	99
27	38	98
28	39	96
29	40	94
30	41	92
31	42	90
32	43	89
33	45	87
34	46	85
35	47	84
36	48	82
37	49	81
38	51	80
39	52	79
40	53	77
41	54	75
42	55	73
43	56	72
44	57	70
45	58	69
46	60	67
47	61	66
48	62	64
49	63	63
50	65	62
51	66	61
52	67	60
53	68	58
54	69	56
55	70	55
56	71	54
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	80	47
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	28
77	98	27
78	99	26
79	100	25
80	102	24
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	110	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	124	1
99	125	0
