iter	Passed	Remaining
0	143	142892
1	144	72140
2	147	49041
3	149	37207
4	151	30100
5	152	25308
6	154	21867
7	155	19296
8	157	17297
9	158	15690
10	162	14601
11	164	13531
12	167	12713
13	168	11895
14	170	11201
15	171	10562
16	172	9995
17	173	9491
18	177	9153
19	178	8761
20	180	8396
21	181	8060
22	182	7763
23	183	7481
24	185	7219
25	186	6977
26	187	6751
27	188	6544
28	192	6441
29	193	6258
30	194	6085
31	195	5924
32	197	5774
33	198	5630
34	199	5494
35	200	5367
36	201	5246
37	202	5132
38	204	5032
39	205	4938
40	207	4850
41	208	4757
42	209	4667
43	210	4582
44	212	4499
45	213	4420
46	214	4344
47	215	4271
48	216	4203
49	217	4137
50	220	4099
51	221	4038
52	222	3982
53	224	3926
54	225	3873
55	226	3823
56	228	3776
57	229	3725
58	230	3676
59	231	3628
60	232	3582
61	235	3560
62	236	3517
63	237	3475
64	238	3437
65	240	3397
66	241	3358
67	242	3321
68	243	3284
69	244	3248
70	245	3214
71	246	3180
72	247	3147
73	250	3130
74	251	3102
75	252	3073
76	253	3042
77	254	3013
78	256	2985
79	257	2957
80	258	2930
81	259	2904
82	259	2872
83	261	2847
84	263	2835
85	264	2813
86	265	2789
87	266	2766
88	268	2744
89	269	2722
90	270	2700
91	271	2679
92	272	2658
93	273	2637
94	274	2617
95	276	2601
96	278	2592
97	279	2573
98	280	2554
99	281	2535
100	282	2517
101	283	2500
102	285	2483
103	286	2466
104	287	2449
105	288	2432
106	289	2416
107	292	2416
108	294	2404
109	295	2390
110	296	2376
111	297	2362
112	299	2347
113	300	2333
114	301	2319
115	302	2305
116	303	2289
117	304	2276
118	306	2266
119	308	2259
120	309	2247
121	310	2234
122	311	2223
123	314	2219
124	315	2208
125	316	2197
126	317	2184
127	319	2173
128	320	2164
129	323	2162
130	324	2152
131	325	2141
132	326	2130
133	327	2119
134	329	2108
135	330	2097
136	331	2086
137	332	2075
138	333	2065
139	334	2055
140	337	2054
141	338	2042
142	339	2032
143	340	2022
144	341	2012
145	342	2003
146	343	1993
147	344	1984
148	345	1975
149	347	1966
150	348	1957
151	349	1951
152	352	1952
153	353	1943
154	354	1934
155	356	1926
156	357	1917
157	358	1908
158	359	1900
159	360	1892
160	361	1882
161	362	1874
162	363	1867
163	364	1859
164	367	1859
165	368	1851
166	369	1843
167	370	1836
168	371	1828
169	373	1821
170	374	1813
171	375	1806
172	376	1799
173	377	1791
174	378	1784
175	379	1777
176	382	1777
177	383	1770
178	384	1763
179	385	1757
180	386	1750
181	387	1743
182	388	1736
183	390	1730
184	391	1724
185	392	1718
186	394	1713
187	397	1718
188	399	1713
189	400	1707
190	401	1702
191	403	1698
192	405	1695
193	406	1689
194	408	1685
195	409	1680
196	413	1684
197	414	1679
198	418	1682
199	419	1678
200	420	1672
201	422	1667
202	423	1662
203	424	1656
204	426	1652
205	427	1647
206	428	1641
207	429	1636
208	430	1630
209	432	1625
210	433	1619
211	434	1614
212	435	1609
213	436	1603
214	437	1598
215	438	1592
216	440	1588
217	442	1585
218	443	1580
219	444	1575
220	445	1569
221	446	1564
222	448	1562
223	449	1557
224	450	1552
225	451	1547
226	452	1542
227	453	1537
228	456	1537
229	457	1532
230	459	1528
231	460	1524
232	461	1520
233	463	1516
234	464	1511
235	465	1508
236	467	1503
237	468	1498
238	469	1494
239	472	1494
240	473	1490
241	474	1486
242	475	1482
243	477	1478
244	478	1474
245	479	1470
246	480	1465
247	481	1461
248	483	1456
249	484	1452
250	486	1452
251	487	1448
252	489	1444
253	490	1439
254	491	1435
255	492	1431
256	493	1427
257	494	1422
258	495	1418
259	497	1414
260	498	1411
261	499	1406
262	501	1406
263	503	1402
264	504	1399
265	505	1395
266	506	1391
267	508	1387
268	509	1384
269	510	1380
270	511	1376
271	512	1372
272	514	1368
273	516	1369
274	517	1365
275	519	1361
276	520	1357
277	521	1353
278	522	1350
279	523	1346
280	524	1342
281	525	1339
282	526	1335
283	528	1331
284	529	1327
285	531	1327
286	532	1323
287	533	1320
288	535	1316
289	536	1312
290	537	1309
291	539	1307
292	540	1303
293	541	1300
294	542	1296
295	543	1293
296	546	1293
297	547	1289
298	548	1286
299	549	1282
300	551	1279
301	552	1277
302	553	1274
303	555	1271
304	556	1269
305	559	1268
306	561	1267
307	562	1264
308	563	1261
309	565	1258
310	566	1255
311	567	1251
312	570	1251
313	571	1249
314	573	1247
315	575	1246
316	577	1243
317	578	1240
318	579	1237
319	580	1234
320	582	1232
321	584	1229
322	585	1226
323	586	1224
324	588	1221
325	590	1221
